img,forward,steering_angle
training_2025-06-12 21:06:30.746547.jpg,1,0
training_2025-06-12 21:06:31.404068.jpg,1,-1
training_2025-06-12 21:06:32.151839.jpg,1,-1
training_2025-06-12 21:06:32.817776.jpg,1,-1
training_2025-06-12 21:06:33.488313.jpg,1,-1
training_2025-06-12 21:06:34.165512.jpg,1,-1
training_2025-06-12 21:06:34.833366.jpg,1,-1
training_2025-06-12 21:06:35.508693.jpg,1,-1
training_2025-06-12 21:06:36.180662.jpg,1,-1
training_2025-06-12 21:06:36.856988.jpg,1,-1
training_2025-06-12 21:06:37.628275.jpg,1,0
training_2025-06-12 21:06:38.301350.jpg,1,0
training_2025-06-12 21:06:38.972572.jpg,1,0
training_2025-06-12 21:06:39.648283.jpg,1,0
training_2025-06-12 21:06:40.320428.jpg,1,0
training_2025-06-12 21:06:40.991942.jpg,1,0
training_2025-06-12 21:07:43.936887.jpg,1,0
training_2025-06-12 21:07:44.600154.jpg,1,-1
training_2025-06-12 21:07:45.275064.jpg,1,-1
training_2025-06-12 21:07:45.952177.jpg,1,-1
training_2025-06-12 21:07:46.627602.jpg,1,-1
training_2025-06-12 21:07:47.301330.jpg,1,0
training_2025-06-12 21:07:47.967908.jpg,1,0
training_2025-06-12 21:07:48.650278.jpg,1,0
training_2025-06-12 21:07:49.397755.jpg,1,-1
training_2025-06-12 21:07:50.062022.jpg,1,-1
training_2025-06-12 21:07:50.745855.jpg,1,-1
training_2025-06-12 21:07:51.408128.jpg,1,0
training_2025-06-12 21:07:52.358783.jpg,1,0
training_2025-06-12 21:07:53.359751.jpg,1,-1
training_2025-06-12 21:07:54.384029.jpg,1,-1
training_2025-06-12 21:07:55.123354.jpg,1,-1
training_2025-06-12 21:07:55.792300.jpg,1,0
training_2025-06-12 21:07:56.463911.jpg,1,0
training_2025-06-12 21:07:57.134036.jpg,1,-1
training_2025-06-12 21:07:57.807620.jpg,1,0
training_2025-06-12 21:07:58.478473.jpg,1,0
training_2025-06-12 21:07:59.158527.jpg,1,0
training_2025-06-12 21:07:59.901462.jpg,1,0
training_2025-06-12 21:08:00.575840.jpg,1,-1
training_2025-06-12 21:08:01.236597.jpg,1,-1
training_2025-06-12 21:08:01.908419.jpg,1,-1
training_2025-06-12 21:08:02.579747.jpg,1,-1
training_2025-06-12 21:08:03.265434.jpg,1,-1
training_2025-06-12 21:08:03.926530.jpg,1,0
training_2025-06-12 21:08:04.601194.jpg,1,0
training_2025-06-12 21:08:05.366727.jpg,1,0
training_2025-06-12 21:08:06.051140.jpg,1,-1
training_2025-06-12 21:08:06.727356.jpg,1,-1
training_2025-06-12 21:08:07.391056.jpg,1,-1
training_2025-06-12 21:08:08.058514.jpg,1,-1
training_2025-06-12 21:08:08.736306.jpg,1,-1
training_2025-06-12 21:08:09.402958.jpg,1,-1
training_2025-06-12 21:08:10.084882.jpg,1,-1
training_2025-06-12 21:08:10.856905.jpg,1,-1
training_2025-06-12 21:08:11.537763.jpg,1,-1
training_2025-06-12 21:08:19.664136.jpg,1,-1
training_2025-06-12 21:08:20.335707.jpg,1,-1
training_2025-06-12 21:08:21.016800.jpg,1,-1
training_2025-06-12 21:08:21.777137.jpg,1,0
training_2025-06-12 21:08:22.453408.jpg,1,0
training_2025-06-12 21:08:23.121531.jpg,1,0
training_2025-06-12 21:08:23.797079.jpg,1,0
training_2025-06-12 21:08:24.465113.jpg,1,-1
training_2025-06-12 21:08:25.146268.jpg,1,-1
training_2025-06-12 21:08:25.819043.jpg,1,-1
training_2025-06-12 21:08:26.484847.jpg,1,-1
training_2025-06-12 21:08:27.255974.jpg,1,0
training_2025-06-12 21:08:27.939921.jpg,1,0
training_2025-06-12 21:08:28.606152.jpg,1,0
training_2025-06-12 21:08:29.276198.jpg,1,-1
training_2025-06-12 21:08:29.947120.jpg,1,-1
training_2025-06-12 21:08:30.620840.jpg,1,-1
training_2025-06-12 21:08:31.292702.jpg,1,0
training_2025-06-12 21:08:31.964375.jpg,1,0
training_2025-06-12 21:08:32.718916.jpg,1,-1
training_2025-06-12 21:08:33.381168.jpg,1,-1
training_2025-06-12 21:08:34.054941.jpg,1,-1
training_2025-06-12 21:09:37.526848.jpg,1,0
training_2025-06-12 21:09:38.208435.jpg,1,0
training_2025-06-12 21:09:38.920547.jpg,1,1
training_2025-06-12 21:09:39.600290.jpg,1,1
training_2025-06-12 21:09:40.267666.jpg,1,0
training_2025-06-12 21:09:40.941727.jpg,1,0
training_2025-06-12 21:09:41.613436.jpg,1,-1
training_2025-06-12 21:09:42.288110.jpg,1,-1
training_2025-06-12 21:09:42.961082.jpg,1,-1
training_2025-06-12 21:09:43.738013.jpg,1,0
training_2025-06-12 21:09:44.411434.jpg,1,-1
training_2025-06-12 21:09:45.084592.jpg,1,0
training_2025-06-12 21:09:45.758699.jpg,1,0
training_2025-06-12 21:09:46.426980.jpg,1,-1
training_2025-06-12 21:09:47.097067.jpg,1,-1
training_2025-06-12 21:09:47.771032.jpg,1,0
training_2025-06-12 21:09:48.440936.jpg,1,0
training_2025-06-12 21:09:49.208940.jpg,1,-1
training_2025-06-12 21:09:49.857422.jpg,1,-1
training_2025-06-12 21:09:50.528823.jpg,1,0
training_2025-06-12 21:09:51.199446.jpg,1,0
training_2025-06-12 21:09:51.874746.jpg,1,0
training_2025-06-12 21:09:52.542905.jpg,1,-1
training_2025-06-12 21:09:53.215662.jpg,1,-1
training_2025-06-12 21:09:53.888540.jpg,1,0
training_2025-06-12 21:09:54.660796.jpg,1,0
training_2025-06-12 21:09:55.331089.jpg,1,-1
training_2025-06-12 21:09:55.999459.jpg,1,-1
training_2025-06-12 21:09:56.669412.jpg,1,0
training_2025-06-12 21:09:57.343182.jpg,1,-1
training_2025-06-12 21:09:58.014191.jpg,1,-1
training_2025-06-12 21:09:58.688020.jpg,1,-1
training_2025-06-12 21:09:59.360365.jpg,1,0
training_2025-06-12 21:10:00.128501.jpg,1,0
training_2025-06-12 21:10:00.800257.jpg,1,0
training_2025-06-12 21:10:01.474712.jpg,1,0
training_2025-06-12 21:10:02.147736.jpg,1,0
training_2025-06-12 21:10:02.818968.jpg,1,-1
training_2025-06-12 21:10:03.489629.jpg,1,-1
training_2025-06-12 21:10:04.160049.jpg,1,-1
training_2025-06-12 21:10:04.833183.jpg,1,-1
training_2025-06-12 21:10:05.581123.jpg,1,0
training_2025-06-12 21:10:06.240694.jpg,1,0
training_2025-06-12 21:10:06.915314.jpg,1,0
training_2025-06-12 21:10:07.582424.jpg,1,-1
training_2025-06-12 21:10:08.257277.jpg,1,-1
training_2025-06-12 21:10:08.927265.jpg,1,-1
training_2025-06-12 21:10:09.600096.jpg,1,0
training_2025-06-12 21:10:10.270977.jpg,1,-1
training_2025-06-12 21:10:11.041506.jpg,1,-1
training_2025-06-12 21:10:11.715403.jpg,1,0
training_2025-06-12 21:10:12.387092.jpg,1,0
training_2025-06-12 21:10:13.055918.jpg,1,0
training_2025-06-12 21:10:13.729167.jpg,1,0
training_2025-06-12 21:10:14.399509.jpg,1,-1
training_2025-06-12 21:10:15.072541.jpg,1,-1
training_2025-06-12 21:10:15.743200.jpg,1,-1
training_2025-06-12 21:10:16.491110.jpg,1,-1
training_2025-06-12 21:10:17.153614.jpg,1,0
training_2025-06-12 21:10:17.825705.jpg,1,0
training_2025-06-12 21:10:18.496355.jpg,1,-1
training_2025-06-12 21:10:19.171221.jpg,1,-1
training_2025-06-12 21:10:19.842121.jpg,1,-1
training_2025-06-12 21:10:20.516847.jpg,1,0
training_2025-06-12 21:10:21.183830.jpg,1,0
training_2025-06-12 21:10:21.947480.jpg,1,0
training_2025-06-12 21:10:22.592693.jpg,1,0
training_2025-06-12 21:10:23.266768.jpg,1,0
training_2025-06-12 21:10:23.936979.jpg,1,-1
training_2025-06-12 21:10:24.608180.jpg,1,-1
training_2025-06-12 21:10:25.279882.jpg,1,-1
training_2025-06-12 21:10:25.951362.jpg,1,0
training_2025-06-12 21:10:26.626067.jpg,1,0
training_2025-06-12 21:10:27.390210.jpg,1,-1
training_2025-06-12 21:10:28.065510.jpg,1,0
training_2025-06-12 21:10:28.739112.jpg,1,0
training_2025-06-12 21:10:29.407693.jpg,1,-1
training_2025-06-12 21:10:30.082804.jpg,1,-1
training_2025-06-12 21:10:30.752579.jpg,1,-1
training_2025-06-12 21:10:31.426409.jpg,1,0
training_2025-06-12 21:10:32.095905.jpg,1,0
training_2025-06-12 21:10:32.865790.jpg,1,0
training_2025-06-12 21:10:33.541380.jpg,1,0
training_2025-06-12 21:10:34.212453.jpg,1,-1
training_2025-06-12 21:10:34.881885.jpg,1,-1
training_2025-06-12 21:10:35.555753.jpg,1,-1
training_2025-06-12 21:10:36.229878.jpg,1,-1
training_2025-06-12 21:10:36.902806.jpg,1,0
training_2025-06-12 21:10:37.573362.jpg,1,0
training_2025-06-12 21:10:38.309830.jpg,1,0
training_2025-06-12 21:10:38.980047.jpg,1,-1
training_2025-06-12 21:10:39.651237.jpg,1,-1
training_2025-06-12 21:10:40.322306.jpg,1,-1
training_2025-06-12 21:10:40.998581.jpg,1,-1
training_2025-06-12 21:10:41.666007.jpg,1,0
training_2025-06-12 21:10:42.337382.jpg,1,0
training_2025-06-12 21:10:43.008631.jpg,1,0
training_2025-06-12 21:10:43.783766.jpg,1,0
training_2025-06-12 21:10:44.453842.jpg,1,0
training_2025-06-12 21:10:45.125136.jpg,1,-1
training_2025-06-12 21:10:45.795462.jpg,1,-1
training_2025-06-12 21:10:46.468615.jpg,1,-1
training_2025-06-12 21:10:47.140174.jpg,1,0
training_2025-06-12 21:10:47.811436.jpg,1,0
training_2025-06-12 21:10:48.481607.jpg,1,-1
training_2025-06-12 21:10:49.252371.jpg,1,-1
training_2025-06-12 21:10:49.929376.jpg,1,0
training_2025-06-12 21:10:50.604509.jpg,1,0
training_2025-06-12 21:10:51.270429.jpg,1,-1
training_2025-06-12 21:10:51.946752.jpg,1,-1
training_2025-06-12 21:10:52.616556.jpg,1,0
training_2025-06-12 21:10:53.288466.jpg,1,0
training_2025-06-12 21:10:53.958443.jpg,1,0
training_2025-06-12 21:10:54.714814.jpg,1,-1
training_2025-06-12 21:10:55.375086.jpg,1,-1
training_2025-06-12 21:10:56.052423.jpg,1,-1
training_2025-06-12 21:10:56.718326.jpg,1,0
training_2025-06-12 21:10:57.391854.jpg,1,0
training_2025-06-12 21:10:58.061484.jpg,1,-1
training_2025-06-12 21:10:58.734200.jpg,1,-1
training_2025-06-12 21:10:59.401381.jpg,1,0
training_2025-06-12 21:11:00.169057.jpg,1,0
training_2025-06-12 21:11:00.846820.jpg,1,-1
training_2025-06-12 21:11:01.518115.jpg,1,-1
training_2025-06-12 21:11:02.187438.jpg,1,0
training_2025-06-12 21:11:02.858844.jpg,1,0
training_2025-06-12 21:11:03.528910.jpg,1,0
training_2025-06-12 21:11:04.202316.jpg,1,0
training_2025-06-12 21:11:04.872472.jpg,1,-1
training_2025-06-12 21:11:05.619026.jpg,1,-1
training_2025-06-12 21:11:06.278223.jpg,1,-1
training_2025-06-12 21:11:06.952552.jpg,1,0
training_2025-06-12 21:11:07.622640.jpg,1,0
training_2025-06-12 21:11:08.294255.jpg,1,-1
training_2025-06-12 21:11:08.968042.jpg,1,-1
training_2025-06-12 21:11:09.639038.jpg,1,0
training_2025-06-12 21:11:10.310817.jpg,1,0
training_2025-06-12 21:11:11.079127.jpg,1,-1
training_2025-06-12 21:11:11.755261.jpg,1,-1
training_2025-06-12 21:11:12.433138.jpg,1,0
training_2025-06-12 21:11:13.100892.jpg,1,0
training_2025-06-12 21:11:13.772348.jpg,1,0
training_2025-06-12 21:11:14.443852.jpg,1,-1
training_2025-06-12 21:11:15.115193.jpg,1,-1
training_2025-06-12 21:11:15.788171.jpg,1,-1
training_2025-06-12 21:11:16.535189.jpg,1,0
training_2025-06-12 21:11:17.198942.jpg,1,0
training_2025-06-12 21:11:17.868631.jpg,1,-1
training_2025-06-12 21:11:18.540318.jpg,1,-1
training_2025-06-12 21:11:19.212584.jpg,1,0
training_2025-06-12 21:11:19.880217.jpg,1,-1
training_2025-06-12 21:11:20.558201.jpg,1,-1
training_2025-06-12 21:11:21.225273.jpg,1,-1
training_2025-06-12 21:11:21.992775.jpg,1,0
training_2025-06-12 21:14:38.615152.jpg,1,0
training_2025-06-12 21:14:39.302186.jpg,1,0
training_2025-06-12 21:14:39.976465.jpg,1,0
training_2025-06-12 21:14:40.643928.jpg,1,-1
training_2025-06-12 21:14:41.414289.jpg,1,-1
training_2025-06-12 21:14:42.094170.jpg,1,-1
training_2025-06-12 21:14:42.772719.jpg,1,-1
training_2025-06-12 21:14:43.440659.jpg,1,0
training_2025-06-12 21:14:44.114468.jpg,1,0
training_2025-06-12 21:14:44.785055.jpg,1,0
training_2025-06-12 21:14:45.459869.jpg,1,0
training_2025-06-12 21:14:46.133671.jpg,1,-1
training_2025-06-12 21:14:46.882948.jpg,1,-1
training_2025-06-12 21:14:47.556686.jpg,1,-1
training_2025-06-12 21:14:48.228186.jpg,1,0
training_2025-06-12 21:14:48.903632.jpg,1,-1
training_2025-06-12 21:14:49.574933.jpg,1,0
training_2025-06-12 21:14:50.251329.jpg,1,0
training_2025-06-12 21:14:50.924068.jpg,1,0
training_2025-06-12 21:14:51.598899.jpg,1,-1
training_2025-06-12 21:14:52.360528.jpg,1,-1
training_2025-06-12 21:14:53.041999.jpg,1,-1
training_2025-06-12 21:14:53.713554.jpg,1,-1
training_2025-06-12 21:14:54.385037.jpg,1,0
training_2025-06-12 21:14:55.044330.jpg,1,0
training_2025-06-12 21:15:05.978571.jpg,1,-1
training_2025-06-12 21:15:06.640019.jpg,1,-1
training_2025-06-12 21:15:07.324644.jpg,1,-1
training_2025-06-12 21:15:07.997878.jpg,1,-1
training_2025-06-12 21:15:08.768626.jpg,1,-1
training_2025-06-12 21:15:09.432617.jpg,1,-1
training_2025-06-12 21:15:10.115336.jpg,1,0
training_2025-06-12 21:15:10.790160.jpg,1,0
training_2025-06-12 21:15:11.451494.jpg,1,0
training_2025-06-12 21:15:12.134050.jpg,1,0
training_2025-06-12 21:15:12.805673.jpg,1,0
training_2025-06-12 21:15:13.475564.jpg,1,-1
training_2025-06-12 21:15:14.246493.jpg,1,-1
training_2025-06-12 21:15:14.929386.jpg,1,-1
training_2025-06-12 21:15:15.596446.jpg,1,-1
training_2025-06-12 21:15:16.271393.jpg,1,0
training_2025-06-12 21:15:16.941562.jpg,1,0
training_2025-06-12 21:15:17.614452.jpg,1,0
training_2025-06-12 21:15:18.284390.jpg,1,-1
training_2025-06-12 21:15:18.947118.jpg,1,-1
training_2025-06-12 21:15:19.703726.jpg,1,0
training_2025-06-12 21:15:20.375557.jpg,1,0
training_2025-06-12 21:15:21.046731.jpg,1,-1
training_2025-06-12 21:15:21.719602.jpg,1,0
training_2025-06-12 21:15:22.395520.jpg,1,0
training_2025-06-12 21:15:23.065817.jpg,1,-1
training_2025-06-12 21:15:23.733344.jpg,1,-1
training_2025-06-12 21:15:24.408321.jpg,1,-1
training_2025-06-12 21:15:25.183315.jpg,1,-1
training_2025-06-12 21:15:25.854402.jpg,1,0
training_2025-06-12 21:15:26.530550.jpg,1,0
training_2025-06-12 21:15:27.198420.jpg,1,0
training_2025-06-12 21:15:27.868474.jpg,1,-1
training_2025-06-12 21:15:28.541567.jpg,1,-1
training_2025-06-12 21:15:29.208459.jpg,1,-1
training_2025-06-12 21:15:29.880378.jpg,1,0
training_2025-06-12 21:15:30.651023.jpg,1,0
training_2025-06-12 21:15:31.332650.jpg,1,0
training_2025-06-12 21:15:32.008578.jpg,1,-1
training_2025-06-12 21:15:32.682475.jpg,1,0
training_2025-06-12 21:15:33.349515.jpg,1,0
training_2025-06-12 21:15:34.016886.jpg,1,-1
training_2025-06-12 21:15:34.682129.jpg,1,-1
training_2025-06-12 21:15:35.360028.jpg,1,-1
training_2025-06-12 21:15:36.108162.jpg,1,0
training_2025-06-12 21:15:36.781101.jpg,1,0
training_2025-06-12 21:15:37.451715.jpg,1,0
training_2025-06-12 21:15:38.124570.jpg,1,-1
training_2025-06-12 21:15:38.794575.jpg,1,-1
training_2025-06-12 21:15:39.468344.jpg,1,-1
training_2025-06-12 21:15:40.139865.jpg,1,0
training_2025-06-12 21:15:40.816911.jpg,1,0
training_2025-06-12 21:15:41.595023.jpg,1,-1
training_2025-06-12 21:15:42.248435.jpg,1,-1
training_2025-06-12 21:15:42.923297.jpg,1,0
training_2025-06-12 21:15:43.597075.jpg,1,0
training_2025-06-12 21:15:44.270528.jpg,1,0
training_2025-06-12 21:15:44.937725.jpg,1,-1
training_2025-06-12 21:15:45.610542.jpg,1,-1
training_2025-06-12 21:15:46.291991.jpg,1,-1
training_2025-06-12 21:15:47.059936.jpg,1,-1
training_2025-06-12 21:15:47.729337.jpg,1,-1
training_2025-06-12 21:15:48.404419.jpg,1,0
training_2025-06-12 21:15:49.077250.jpg,1,0
training_2025-06-12 21:15:49.748974.jpg,1,0
training_2025-06-12 21:15:50.421353.jpg,1,0
training_2025-06-12 21:15:51.092811.jpg,1,-1
training_2025-06-12 21:15:51.765812.jpg,1,-1
training_2025-06-12 21:15:52.513379.jpg,1,-1
training_2025-06-12 21:15:53.188764.jpg,1,0
training_2025-06-12 21:15:53.854327.jpg,1,0
training_2025-06-12 21:15:54.526336.jpg,1,0
training_2025-06-12 21:15:55.195926.jpg,1,0
training_2025-06-12 21:15:55.866327.jpg,1,-1
training_2025-06-12 21:15:56.538043.jpg,1,-1
training_2025-06-12 21:15:57.224229.jpg,1,-1
training_2025-06-12 21:15:57.982936.jpg,1,0
training_2025-06-12 21:15:58.661449.jpg,1,0
training_2025-06-12 21:15:59.331106.jpg,1,0
training_2025-06-12 21:16:00.004844.jpg,1,-1
training_2025-06-12 21:16:00.678094.jpg,1,-1
training_2025-06-12 21:16:01.344296.jpg,1,-1
training_2025-06-12 21:16:02.016511.jpg,1,0
training_2025-06-12 21:16:02.689669.jpg,1,0
training_2025-06-12 21:16:03.470615.jpg,1,0
training_2025-06-12 21:16:04.149729.jpg,1,-1
training_2025-06-12 21:16:04.819610.jpg,1,-1
training_2025-06-12 21:16:05.481822.jpg,1,0
training_2025-06-12 21:16:06.165566.jpg,1,0
training_2025-06-12 21:16:06.835473.jpg,1,-1
training_2025-06-12 21:16:07.503788.jpg,1,-1
training_2025-06-12 21:16:08.181798.jpg,1,-1
training_2025-06-12 21:16:08.935247.jpg,1,-1
training_2025-06-12 21:16:09.626278.jpg,1,0
training_2025-06-12 21:16:10.293834.jpg,1,0
training_2025-06-12 21:16:10.976955.jpg,1,-1
training_2025-06-12 21:16:11.638838.jpg,1,-1
training_2025-06-12 21:16:12.318087.jpg,1,0
training_2025-06-12 21:16:12.986412.jpg,1,0
training_2025-06-12 21:16:13.659721.jpg,1,-1
training_2025-06-12 21:16:14.417158.jpg,1,-1
training_2025-06-12 21:16:15.110423.jpg,1,0
training_2025-06-12 21:16:15.778960.jpg,1,0
training_2025-06-12 21:16:16.453630.jpg,1,-1
training_2025-06-12 21:16:17.122522.jpg,1,-1
training_2025-06-12 21:16:17.791165.jpg,1,0
training_2025-06-12 21:16:18.470548.jpg,1,0
training_2025-06-12 21:16:19.142285.jpg,1,-1
training_2025-06-12 21:16:19.907190.jpg,1,-1
training_2025-06-12 21:16:20.583356.jpg,1,0
training_2025-06-12 21:16:21.265303.jpg,1,0
training_2025-06-12 21:16:21.935861.jpg,1,-1
training_2025-06-12 21:16:22.600633.jpg,1,-1
training_2025-06-12 21:16:23.271896.jpg,1,-1
training_2025-06-12 21:16:23.945901.jpg,1,0
training_2025-06-12 21:16:24.615542.jpg,1,0
training_2025-06-12 21:16:25.396029.jpg,1,-1
training_2025-06-12 21:16:26.065492.jpg,1,0
training_2025-06-12 21:16:26.734140.jpg,1,0
training_2025-06-12 21:16:27.407803.jpg,1,-1
training_2025-06-12 21:16:28.080658.jpg,1,-1
training_2025-06-12 21:16:28.758118.jpg,1,-1
training_2025-06-12 21:16:29.426256.jpg,1,0
training_2025-06-12 21:16:30.100493.jpg,1,0
training_2025-06-12 21:16:30.841403.jpg,1,-1
training_2025-06-12 21:16:31.517233.jpg,1,-1
training_2025-06-12 21:16:32.187748.jpg,1,0
training_2025-06-12 21:16:32.864560.jpg,1,0
training_2025-06-12 21:16:33.535059.jpg,1,-1
training_2025-06-12 21:16:34.201326.jpg,1,-1
training_2025-06-12 21:16:34.874649.jpg,1,-1
training_2025-06-12 21:16:35.545477.jpg,1,0
training_2025-06-12 21:16:36.312245.jpg,1,0
training_2025-06-12 21:16:36.991882.jpg,1,-1
training_2025-06-12 21:16:37.662816.jpg,1,-1
training_2025-06-12 21:16:38.337310.jpg,1,0
training_2025-06-12 21:16:39.011875.jpg,1,0
training_2025-06-12 21:16:39.690279.jpg,1,-1
training_2025-06-12 21:16:40.362318.jpg,1,-1
training_2025-06-12 21:16:41.026414.jpg,1,0
training_2025-06-12 21:16:41.798283.jpg,1,0
training_2025-06-12 21:16:42.479601.jpg,1,-1
training_2025-06-12 21:16:43.144997.jpg,1,-1
training_2025-06-12 21:16:43.833442.jpg,1,-1
training_2025-06-12 21:16:44.497527.jpg,1,-1
training_2025-06-12 21:16:45.162479.jpg,1,0
training_2025-06-12 21:16:45.845237.jpg,1,0
training_2025-06-12 21:16:46.507978.jpg,1,0
training_2025-06-12 21:16:47.288231.jpg,1,0
training_2025-06-12 21:16:47.965766.jpg,1,-1
training_2025-06-12 21:16:48.639109.jpg,1,-1
training_2025-06-12 21:16:49.314638.jpg,1,-1
training_2025-06-12 21:16:49.989234.jpg,1,-1
training_2025-06-12 21:16:50.662715.jpg,1,-1
training_2025-06-12 21:16:51.330484.jpg,1,0
training_2025-06-12 21:16:52.002338.jpg,1,0
training_2025-06-12 21:16:52.751524.jpg,1,-1
training_2025-06-12 21:16:53.416059.jpg,1,-1
training_2025-06-12 21:16:54.081473.jpg,1,0
training_2025-06-12 21:16:54.762904.jpg,1,-1
training_2025-06-12 21:16:55.429315.jpg,1,-1
training_2025-06-12 21:16:56.102410.jpg,1,-1
training_2025-06-12 21:16:56.786707.jpg,1,0
training_2025-06-12 21:16:57.459939.jpg,1,0
training_2025-06-12 21:16:58.221738.jpg,1,0
training_2025-06-12 21:16:58.903122.jpg,1,-1
training_2025-06-12 21:16:59.568995.jpg,1,-1
training_2025-06-12 21:17:00.248849.jpg,1,0
training_2025-06-12 21:17:00.919542.jpg,1,0
training_2025-06-12 21:17:01.586725.jpg,1,-1
training_2025-06-12 21:17:02.257143.jpg,1,-1
training_2025-06-12 21:17:02.931819.jpg,1,-1
training_2025-06-12 21:17:03.705591.jpg,1,-1
